PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3541 0.0471 1.0000 0.3000 0.0000 0.3000 0.0082 0.0000 0.0189 0.0082 0.0246 0.8000 1.0000 0.0000 
0.2550 0.0466 0.0000 0.9000 0.0000 0.2000 0.0081 0.1000 0.0106 0.0000 0.0121 0.9000 1.0000 0.0000 
0.3624 0.0466 0.0000 1.0000 0.0000 0.1000 0.0081 0.0000 0.0065 0.0000 0.0121 1.0000 1.0000 0.1739 
0.4724 0.0394 0.6000 0.4000 0.0000 0.1000 0.0083 0.0000 0.0067 0.0083 0.0373 1.0000 1.0000 0.0000 
0.3770 0.0394 0.8000 0.4000 0.0000 0.1000 0.0083 0.0000 0.0067 0.0083 0.0373 1.0000 1.0000 0.0000 
0.2725 0.0394 1.0000 0.4000 0.0000 0.1000 0.0083 0.0000 0.0067 0.0083 0.0373 1.0000 1.0000 0.0000 
0.2470 0.0396 0.0000 0.3000 0.0000 0.9000 0.0167 0.7000 0.0067 0.0083 0.0417 0.2000 1.0000 0.0000 
0.3399 0.0389 0.0000 0.3000 0.0000 0.8000 0.0164 0.7000 0.0066 0.0000 0.0246 0.3000 1.0000 0.0000 
0.2460 0.0389 0.0000 0.4000 0.0000 0.7000 0.0164 0.6000 0.0066 0.0000 0.0246 0.4000 1.0000 0.0000 
0.2088 0.0389 0.0000 0.5000 0.0000 0.6000 0.0164 0.5000 0.0066 0.0000 0.0246 0.5000 1.0000 0.0000 
0.3399 0.0389 0.0000 0.6000 0.0000 0.5000 0.0164 0.4000 0.0066 0.0000 0.0246 0.6000 1.0000 0.0000 
0.1498 0.0396 0.0000 0.8000 0.0000 0.4000 0.0167 0.2000 0.0067 0.0000 0.0417 0.7000 1.0000 0.0000 
0.2285 0.0389 0.0000 0.8000 0.0000 0.3000 0.0164 0.2000 0.0066 0.0000 0.0246 0.8000 1.0000 0.0000 
0.2830 0.0386 0.0000 0.9000 0.0000 0.2000 0.0162 0.1000 0.0000 0.0000 0.0147 0.9000 1.0000 0.0000 
0.4476 0.0389 0.0000 1.0000 0.0000 0.1000 0.0164 0.0000 0.0066 0.0000 0.0246 1.0000 1.0000 0.4211 
0.5838 0.0233 0.6000 0.3000 0.0000 0.1000 0.0169 0.0000 0.0068 0.0169 0.0593 1.0000 1.0000 0.0000 
0.3654 0.0233 0.8000 0.3000 0.0000 0.1000 0.0169 0.0000 0.0068 0.0169 0.0593 1.0000 1.0000 0.0000 
0.2765 0.0233 1.0000 0.3000 0.0000 0.1000 0.0169 0.0000 0.0068 0.0169 0.0593 1.0000 1.0000 0.0000 
0.2611 0.0903 0.0000 0.2000 0.0000 0.9000 0.0336 0.8000 0.0068 0.0168 0.0504 0.2000 1.0000 0.1860 
0.4055 0.0748 0.6000 0.2000 0.0000 0.9000 0.0342 0.0000 0.0069 0.0342 0.0684 0.2000 1.0000 0.0000 
0.3304 0.0748 0.8000 0.2000 0.0000 0.9000 0.0342 0.0000 0.0069 0.0342 0.0684 0.2000 1.0000 0.0000 
0.3712 0.0748 1.0000 0.2000 0.0000 0.9000 0.0342 0.0000 0.0069 0.0342 0.0684 0.2000 1.0000 0.0000 
0.2520 0.1457 0.0000 0.4000 0.0000 0.8000 0.0348 0.6000 0.0070 0.0000 0.0870 0.3000 1.0000 0.0000 
0.2830 0.1408 0.0000 0.4000 0.0000 0.7000 0.0336 0.6000 0.0068 0.0000 0.0504 0.4000 1.0000 0.2388 
0.6892 0.1109 0.6000 0.2000 0.0000 0.7000 0.0348 0.0000 0.0070 0.0348 0.0870 0.4000 1.0000 0.0000 
